Tournament,Year,Date,Location,Division,DivisionTier,Place,Award,GlasswareType,Team,Player1,Player2
"NATS/USAR Husky Roundnet Winter Open 2026","2026","2026-02-07","Seattle, WA, US","Bronze+/Premier (5.0+)","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Algorithm","Juan Moscoso","Solomon Berry"
"NATS/USAR Husky Roundnet Winter Open 2026","2026","2026-02-07","Seattle, WA, US","Bronze+/Premier (5.0+)","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Back Spinnies for the Winnies","Dallin James","Conner Bradshaw"
"NATS/USAR Husky Roundnet Winter Open 2026","2026","2026-02-07","Seattle, WA, US","Bronze+/Premier (5.0+)","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Fence Erectors","Max Nice","Jensen Elsemore"
"NATS/USAR Husky Roundnet Winter Open 2026","2026","2026-02-07","Seattle, WA, US","Bronze+/Premier (5.0+)","Top Tier (Glassware)",4,"4th Place (No Award)","None","Casablanca Express","Josh Wozniak","Kavan Dharia"
"NATS/USAR Husky Roundnet Winter Open 2026","2026","2026-02-07","Seattle, WA, US","Contender (4.5)","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Zero Spice Pad Thai","Jacob Marshall","Evan Cox"
"NATS/USAR Husky Roundnet Winter Open 2026","2026","2026-02-07","Seattle, WA, US","Contender (4.5)","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Boom + Davy","Logan Garwood","Davis Jung"
"NATS/USAR Husky Roundnet Winter Open 2026","2026","2026-02-07","Seattle, WA, US","Contender (4.5)","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Firkland Kog","Andrew Nakahara","Zachary Abas"
"NATS/USAR Husky Roundnet Winter Open 2026","2026","2026-02-07","Seattle, WA, US","Contender (4.5)","Top Tier (Glassware)",4,"4th Place (No Award)","None","Born to Ahn 2","Scott Hilborn","Richard Ahn"
"TASR Austin Spike Weekend Season Opener","2026","2026-02-21","Austin, TX, US","4.0 Contender+","Lower Division (Medals)",1,"🥇 Gold Medal","None","We're In Debt","Tyler Fernandez","Micah Allin"
"TASR Austin Spike Weekend Season Opener","2026","2026-02-21","Austin, TX, US","4.0 Contender+","Lower Division (Medals)",2,"🥈 Silver Medal","None","New Rules?","Andrew Christmas","Noah Beinart"
