Tournament,Year,Date,Location,Division,DivisionTier,Place,Award,GlasswareType,Team,Player1,Player2
"2024 Waco TASR Major","2024","2024-02-17","Waco, TX, US","Gold 5.0","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Bink City","Tyler Fernandez","fredric hinkle"
"2024 Waco TASR Major","2024","2024-02-17","Waco, TX, US","Gold 5.0","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Asleep","Nickhil Anantha","Noah Beinart"
"2024 Waco TASR Major","2024","2024-02-17","Waco, TX, US","Gold 5.0","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","With Some Rice","Garrett Ashton","Caleb Cummings"
"2024 Waco TASR Major","2024","2024-02-17","Waco, TX, US","Gold 5.0","Top Tier (Glassware)",4,"4th Place (No Award)","None","Austin/thompson","bradley thompson","Ian Austin"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","5.0+ Men's","Lower Division (Medals)",1,"🥇 Gold Medal","None","J.A.R.V.I.S.","Connor Nelson","Josh Fragiacomo"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","5.0+ Men's","Lower Division (Medals)",2,"🥈 Silver Medal","None","Numb","Kieran Rose","Paq Clifford"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","5.0+ Men's","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Assistive Touch","Clark Marshall","Buddy Hammon"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","5.0+ Men's","Lower Division (Medals)",3,"🥉 Bronze Medal","None","FTR Frontier","Jake Woolley","Kyan Kornfeld"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","4.5+ Women's","Lower Division (Medals)",1,"🥇 Gold Medal","None","Perform or die","Karah Hui","Perrin York"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","4.5+ Women's","Lower Division (Medals)",2,"🥈 Silver Medal","None","Berk/Pierson","Katie Pierson","Camille Anderson"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","4.5+ Women's","Lower Division (Medals)",3,"🥉 Bronze Medal","None","jo&elle","Joelle Nguyen","Elle Lowe"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","4.5+ Women's","Lower Division (Medals)",4,"4th Place (No Award)","None","Directional Lovers","Kayla Wu-Fleming","Sebastiani Kim"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","4.0 Open","Lower Division (Medals)",1,"🥇 Gold Medal","None","Outta Pocket","Cameron Thomas","Eli Wortman"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","4.0 Open","Lower Division (Medals)",2,"🥈 Silver Medal","None","ur mom part 2","Gabe Veth","Brady Martin"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","4.0 Open","Lower Division (Medals)",3,"🥉 Bronze Medal","None","party foul","Jake Eichenseer","Ethan Epp"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","4.0 Open","Lower Division (Medals)",4,"4th Place (No Award)","None","bang","Wesley Mak","Jack Guerrero"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","2.0-3.0 Open Intermediate","Lower Division (Medals)",1,"🥇 Gold Medal","None","The Capyballas","Cassidy Kysoth","Martin Ramirez"
