Tournament,Year,Date,Location,Division,DivisionTier,Place,Award,GlasswareType,Team,Player1,Player2
"Waco Major","2023","2023-02-18","Waco, TX, US","Advanced 4.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","MFFLs","Jackson Oliver","Rhett Howe"
"Waco Major","2023","2023-02-18","Waco, TX, US","Advanced 4.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","New Cut","Hayden Woolard","David Z"
"Waco Major","2023","2023-02-18","Waco, TX, US","Advanced 4.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Flummoxed","Robert Sellers","Dylan Jimenez"
"Waco Major","2023","2023-02-18","Waco, TX, US","Advanced 4.0","Lower Division (Medals)",4,"4th Place (No Award)","None","Every Day BBQ","Cooper Diaz","Kyle Daily"
"Waco Major","2023","2023-02-18","Waco, TX, US","Gold 5.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","NEM Phantom","Tyler Fernandez","Caleb Cummings"
"Waco Major","2023","2023-02-18","Waco, TX, US","Gold 5.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","WySpike FIFO","Matthew Burrows","Garrett Hornok"
"Waco Major","2023","2023-02-18","Waco, TX, US","Gold 5.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Chump Change","Fredric Hinkle","Grayson M  Wills"
"Waco Major","2023","2023-02-18","Waco, TX, US","Gold 5.0","Lower Division (Medals)",4,"4th Place (No Award)","None","WySpike Sweepers","Colton Mowry","Nick Noguez"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Mixed 4.5","Lower Division (Medals)",1,"🥇 Gold Medal","None","Don’t Touch Jenny","Karah Hui","Brandon Brown"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Mixed 4.5","Lower Division (Medals)",2,"🥈 Silver Medal","None","Assistant to the Chef ","Josh Fragiacomo","Christine Chang"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Mixed 4.5","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Wusil","Kayla Wu-Fleming","Dean Wasil"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Mixed 4.5","Lower Division (Medals)",4,"4th Place (No Award)","None","Circumcised Bread","Joelle Nguyen","John Choi"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Expert 5.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","Whopper? I barely know her","Josh Cain","Nick Wideman"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Expert 5.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","Quality Service","Jacob Payer","Andrew Kosche"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Expert 5.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Take it ez john","Ethan Zehr","John Choi"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Expert 5.0","Lower Division (Medals)",4,"4th Place (No Award)","None","JK.","Jason Rhoads","Kyan Kornfeld"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Contender 4.5","Lower Division (Medals)",1,"🥇 Gold Medal","None","Once Upon a Set","Jordan Guevara","Matt Sparks"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Contender 4.5","Lower Division (Medals)",2,"🥈 Silver Medal","None","Julian Baker Fan Club","Jai Parera","Arrow Griner"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Contender 4.5","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Water Ice","Marc Baldwin","Aaron Treece"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Contender 4.5","Lower Division (Medals)",4,"4th Place (No Award)","None","Awkward Freestyle","Mitch Kennamore","Ryan Pho"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Womens 4.5","Lower Division (Medals)",1,"🥇 Gold Medal","None","Morehouse/Lowe","Elle Lowe","Maddy Morehouse"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Womens 4.5","Lower Division (Medals)",2,"🥈 Silver Medal","None","FURY","Ashley Ortlip","Joelle Nguyen"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Womens 4.5","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Pristine sets and immaculate gets","Christine Chang","Perrin York"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Womens 4.5","Lower Division (Medals)",4,"4th Place (No Award)","None","Fire & Ice","Kayla Ngai","Sebastiani Kim"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Advanced 2.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","M&M","Michael Martinson","Maranda Gutierrez"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Advanced 2.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","Hawgz","Will Emenger","D’Angelo Bailey"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Advanced 2.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","How I set your mother","Evan F","Nick T"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Advanced 2.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Alec & Sarah","Alec Matulka 'student'","Julian Baker"
"San Jose Open #2 -California Roundnet","2023","2023-04-01","Stanford, CA, US","Expert 4.0-5.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","Shifty","Samuel Buckman","Trevor Barbosa"
"San Jose Open #2 -California Roundnet","2023","2023-04-01","Stanford, CA, US","Expert 4.0-5.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","Oswalt / Schrag","Ryan Oswalt","Nathaniel Schrag"
"San Jose Open #2 -California Roundnet","2023","2023-04-01","Stanford, CA, US","Expert 4.0-5.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Degenerational Wealth","brandon brown","Jason Rhoads"
"San Jose Open #2 -California Roundnet","2023","2023-04-01","Stanford, CA, US","Expert 4.0-5.0","Lower Division (Medals)",4,"4th Place (No Award)","None","Josh","Josh Cain","Josh Fragiacomo"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Women's (3.0-5.0)","Lower Division (Medals)",1,"🥇 Gold Medal","None","Impulsive","Kalin Morgan","Olivia Jenki"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Women's (3.0-5.0)","Lower Division (Medals)",2,"🥈 Silver Medal","None","Cat Daddies","Sarah Allen","Ali Jenki"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Women's (3.0-5.0)","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Morehouse/Pierson","Katie Pierson","Maddy Morehouse"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Women's (3.0-5.0)","Lower Division (Medals)",4,"4th Place (No Award)","None","Space Monkeys 🚀🐒","Stef Ding","Rafaela Bastos"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Mixed Intermediate (3.0)","Lower Division (Medals)",1,"🥇 Gold Medal","None","Lulu Limón","Julie Orozco","Luis Orozco"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Mixed Intermediate (3.0)","Lower Division (Medals)",2,"🥈 Silver Medal","None","Sass to the Grass","Tim Daudelin","Katrina Gabriella"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Mixed Intermediate (3.0)","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Wics","Laura Castro","Jon Do"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Mixed Intermediate (3.0)","Lower Division (Medals)",4,"4th Place (No Award)","None","Better late then never","Chris Perez","Brayden Einhaus"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Intermediate (Open 3.0)","Lower Division (Medals)",1,"🥇 Gold Medal","None","Mello Yello","Brandon Depara","John Gomez"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Intermediate (Open 3.0)","Lower Division (Medals)",2,"🥈 Silver Medal","None","visor bois","James Lightner","Paul Smith"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Intermediate (Open 3.0)","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Mirinda","Frederik Hardervig","Evan Karcher"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Intermediate (Open 3.0)","Lower Division (Medals)",4,"4th Place (No Award)","None","[HRN] Shenanigans","Kelvin Xiao","Cesar Escalante"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Contender (Open 4.5)","Lower Division (Medals)",1,"🥇 Gold Medal","None","Round 2 #notkayne","Alex Cook","Benjamin Goldfarb"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Contender (Open 4.5)","Lower Division (Medals)",2,"🥈 Silver Medal","None","Y’all spike eh?","Nick Wideman","Ian Austin"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Contender (Open 4.5)","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Sauerkraut","Timo Lorenzen","Joshua Travis"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Contender (Open 4.5)","Lower Division (Medals)",4,"4th Place (No Award)","None","E10","Bradley Clark","Daniel Haungs"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Premier (5.0)","Lower Division (Medals)",1,"🥇 Gold Medal","None","Mermaid Sparkle","Christian Bennett","Noah Luskus"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Premier (5.0)","Lower Division (Medals)",2,"🥈 Silver Medal","None","Insystem","Etienne Cote","Blake Bosak"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Premier (5.0)","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Clean Combo","Rahul Murthy","Ryan Gross"
